circuitId,url,circuitName,capacity,website,architect,lat,long,locality,country
albert_park,http://en.wikipedia.org/wiki/Melbourne_Grand_Prix_Circuit,Albert Park Grand Prix Circuit,125000,,NA,-37.8497,144.968,Melbourne,Australia
americas,http://en.wikipedia.org/wiki/Circuit_of_the_Americas,Circuit of the Americas,120000,http://circuitoftheamericas.com,"Tavo Hellmund, Kevin Schwantz, and Hermann Tilke",30.1328,-97.6411,Austin,USA
bahrain,http://en.wikipedia.org/wiki/Bahrain_International_Circuit,Bahrain International Circuit,70000,,Hermann Tilke,26.0325,50.5106,Sakhir,Bahrain
baku,http://en.wikipedia.org/wiki/Baku_City_Circuit,Baku City Circuit,18500,https://www.bakucitycircuit.com,Hermann Tilke,40.3725,49.8533,Baku,Azerbaijan
catalunya,http://en.wikipedia.org/wiki/Circuit_de_Barcelona-Catalunya,Circuit de Barcelona-Catalunya,140700,,NA,41.57,2.26111,Montmeló,Spain
hungaroring,http://en.wikipedia.org/wiki/Hungaroring,Hungaroring,70000,https://hungaroring.hu,István Papp & Ferenc Gulácsi,47.5789,19.2486,Budapest,Hungary
interlagos,http://en.wikipedia.org/wiki/Aut%C3%B3dromo_Jos%C3%A9_Carlos_Pace,Autódromo José Carlos Pace,60000,https://autodromodeinterlagos.com.br/,NA,-23.7036,-46.6997,São Paulo,Brazil
jeddah,http://en.wikipedia.org/wiki/Jeddah_Street_Circuit,Jeddah Corniche Circuit,50000,,Carsten Tilke,21.6319,39.1044,Jeddah,Saudi Arabia
losail,http://en.wikipedia.org/wiki/Losail_International_Circuit,Losail International Circuit,52000,https://www.circuitlosail.com/,NA,25.49,51.4542,Al Daayen,Qatar
marina_bay,http://en.wikipedia.org/wiki/Marina_Bay_Street_Circuit,Marina Bay Street Circuit,90000,,KBR,1.2914,103.864,Marina Bay,Singapore
miami,http://en.wikipedia.org/wiki/Miami_International_Autodrome,Miami International Autodrome,65000,,Apex Circuit Design,25.9581,-80.2389,Miami,USA
monaco,http://en.wikipedia.org/wiki/Circuit_de_Monaco,Circuit de Monaco,37000,,NA,43.7347,7.42056,Monte-Carlo,Monaco
monza,http://en.wikipedia.org/wiki/Autodromo_Nazionale_Monza,Autodromo Nazionale di Monza,118865,https://www.monzanet.it,Alfredo Rosselli,45.6156,9.28111,Monza,Italy
red_bull_ring,http://en.wikipedia.org/wiki/Red_Bull_Ring,Red Bull Ring,105000,,NA,47.2197,14.7647,Spielberg,Austria
rodriguez,http://en.wikipedia.org/wiki/Aut%C3%B3dromo_Hermanos_Rodr%C3%ADguez,Autódromo Hermanos Rodríguez,110000,http://ahr.notiauto.com,NA,19.4042,-99.0907,Mexico City,Mexico
silverstone,http://en.wikipedia.org/wiki/Silverstone_Circuit,Silverstone Circuit,164000,https://www.silverstone.co.uk,NA,52.0786,-1.01694,Silverstone,UK
spa,http://en.wikipedia.org/wiki/Circuit_de_Spa-Francorchamps,Circuit de Spa-Francorchamps,70000,www.spa-francorchamps.be/en,Jules de Thier and Henri Langlois van Ophem,50.4372,5.97139,Spa,Belgium
suzuka,http://en.wikipedia.org/wiki/Suzuka_Circuit,Suzuka Circuit,155000,www.suzukacircuit.jp,John Hugenholtz,34.8431,136.541,Suzuka,Japan
vegas,https://en.wikipedia.org/wiki/Las_Vegas_Grand_Prix#Circuit,Las Vegas Strip Street Circuit,100000,,Carsten Tilke,36.1147,-115.173,Las Vegas,United States
villeneuve,http://en.wikipedia.org/wiki/Circuit_Gilles_Villeneuve,Circuit Gilles Villeneuve,100000,http://www.circuitgillesvilleneuve.ca,Roger Peart,45.5,-73.5228,Montreal,Canada
yas_marina,http://en.wikipedia.org/wiki/Yas_Marina_Circuit,Yas Marina Circuit,60000,https://www.yasmarinacircuit.com,Hermann Tilke,24.4672,54.6031,Abu Dhabi,UAE
zandvoort,http://en.wikipedia.org/wiki/Circuit_Zandvoort,Circuit Park Zandvoort,105000,https://www.circuitzandvoort.nl,NA,52.3888,4.54092,Zandvoort,Netherlands
